,server,seconds_before_next_point,opponent,game,seconds_added_per_point
0,Nicolas Almagro,22,Rafael Nadal,0-0,-2.01
1,Nicolas Almagro,19,Rafael Nadal,0-0,-2.01
2,Nicolas Almagro,23,Rafael Nadal,0-0,-2.01
3,Nicolas Almagro,24,Rafael Nadal,0-0,-2.01
4,Nicolas Almagro,19,Rafael Nadal,0-0,-2.01
5,Pablo Andujar,34,Philipp Kohlschreiber,2-4,2.0
6,Bernard Tomic,21,Thanasi Kokkinakis,0-1,-3.54
7,Bernard Tomic,17,Thanasi Kokkinakis,0-1,-3.54
8,Bernard Tomic,17,Thanasi Kokkinakis,0-1,-3.54
9,Rafael Nadal,34,Nicolas Almagro,0-1,5.92
10,Rafael Nadal,29,Nicolas Almagro,0-1,5.92
11,Rafael Nadal,33,Nicolas Almagro,0-1,5.92
12,Rafael Nadal,23,Nicolas Almagro,0-1,5.92
13,Rafael Nadal,27,Nicolas Almagro,0-1,5.92
14,Pablo Andujar,26,Philipp Kohlschreiber,4-4,2.0
15,Pablo Andujar,24,Philipp Kohlschreiber,4-4,2.0
16,Pablo Andujar,32,Philipp Kohlschreiber,4-4,2.0
17,Bernard Tomic,21,Thanasi Kokkinakis,1-2,-3.54
18,Bernard Tomic,15,Thanasi Kokkinakis,1-2,-3.54
19,Bernard Tomic,18,Thanasi Kokkinakis,1-2,-3.54
20,Bernard Tomic,37,Thanasi Kokkinakis,1-2,-3.54
21,Pablo Andujar,38,Philipp Kohlschreiber,4-4,2.0
22,Pablo Andujar,31,Philipp Kohlschreiber,4-4,2.0
23,Nicolas Almagro,22,Rafael Nadal,1-3,-2.01
24,Nicolas Almagro,24,Rafael Nadal,1-3,-2.01
25,Nicolas Almagro,22,Rafael Nadal,1-3,-2.01
26,Nicolas Almagro,20,Rafael Nadal,3-5,-2.01
27,Andrey Kuznetsov,16,Jurgen Melzer,2-2,-2.4
28,Andrey Kuznetsov,19,Jurgen Melzer,2-2,-2.4
29,Andrey Kuznetsov,20,Jurgen Melzer,2-2,-2.4
30,Andrey Kuznetsov,15,Jurgen Melzer,2-2,-2.4
31,Rafael Nadal,27,Nicolas Almagro,5-1,5.92
32,Andy Murray,29,Joao Sousa,2-1,2.53
33,Andy Murray,20,Joao Sousa,2-1,2.53
34,Borna Coric,28,Tommy Robredo,5-4,3.18
35,Borna Coric,25,Tommy Robredo,5-4,3.18
